epoch,train_loss,val_loss,train_acc,val_acc,epoch_time
1,0.6941292667858996,0.6977470869894419,54.467036352433766,51.83585313174946,160.5040876865387
2,0.6892142274904163,0.6903549094179536,55.02156500308072,52.26781857451404,161.71282482147217
3,0.676601179940276,0.6925044678972297,57.486136783733826,53.347732181425485,169.26377367973328
4,0.6749685787890182,0.6965251763232584,57.301293900184845,55.29157667386609,163.98284268379211
5,0.6859158003175986,0.6910790709645908,55.2064078866297,52.915766738660906,163.05961656570435
6,0.6705609387038155,0.6877341302630711,58.533579790511396,53.563714902807774,176.52403497695923
7,0.6693092362056599,0.6896743550413885,57.60936537276648,53.131749460043196,178.61100935935974
8,0.6636391098089447,0.6877161350672497,58.718422674060385,53.131749460043196,166.76244449615479
9,0.6635211324221693,0.6836725367840629,59.02649414664202,53.347732181425485,165.1998257637024
10,0.6654714297087782,0.6881676302100361,58.163894023413434,52.915766738660906,164.1086483001709
