epoch,train_loss,val_loss,train_acc,val_acc,epoch_time
1,0.6223019568257617,0.5814604609239179,63.77079482439926,67.170626349892,174.3815369606018
2,0.5499388123102124,0.631907106347012,72.33518176216883,65.65874730021598,179.86488461494446
3,0.47010809588931773,0.6270561092100699,78.4966112138016,64.79481641468682,181.44919776916504
4,0.45214945114621097,0.6986554106677325,78.00369685767097,68.89848812095032,175.5261766910553
5,0.4171562279658926,0.6405454312750897,80.83795440542205,68.68250539956803,180.78715252876282
6,0.31723659596212544,0.658800698511029,86.44485520640788,69.11447084233261,175.20939826965332
7,0.24804013104476977,0.623992618551522,89.52556993222427,72.78617710583153,186.50603866577148
8,0.19194592313768682,0.6677874992269677,93.3456561922366,73.65010799136068,178.8822455406189
9,0.1677614814950152,0.6943504699620521,93.40727048675292,72.78617710583153,164.26160788536072
10,0.1473515129160969,0.7280150715012272,94.94762784966112,73.00215982721382,170.71536207199097
