epoch,train_loss,val_loss,train_acc,val_acc,epoch_time
1,0.6586490241524913,0.6766018079629984,61.24460874922982,64.57883369330453,208.4092299938202
2,0.5430124301052505,0.6234044127536387,72.76648182378312,65.65874730021598,205.35753059387207
3,0.4760643657680213,0.5347964471411242,76.64818237831177,72.57019438444924,202.7917444705963
4,0.4259575808665228,0.741836827690864,79.97535428219346,72.35421166306695,199.78484201431274
5,0.3725478138845788,0.6214768630382052,83.11768330252619,71.2742980561555,201.9770781993866
6,0.2576256247853616,0.5678271901337169,90.38817005545286,76.45788336933046,207.47478795051575
7,0.1828357767742942,0.6323049389646583,93.16081330868762,74.94600431965442,214.2351725101471
8,0.1358525715286322,0.6417547268048733,94.7011706715958,76.45788336933046,217.25785183906555
9,0.09926886494814872,0.7143411133478579,96.48798521256931,76.45788336933046,240.41556644439697
10,0.0825074318330448,0.7345039733800208,97.28897104128157,77.7537796976242,213.57856273651123
   
