epoch,train_loss,val_loss,train_acc,val_acc,epoch_time
1,0.21427018540797776,0.2277017519545605,91.09267431597529,90.43894612819935,13587.321907758713
2,0.1593732081621175,0.204976078180754,93.41429832303619,91.89541500589105,13379.91943526268
3,0.1405597325565798,0.18097523915977154,94.19311562224183,91.97061993933468,13354.263112306595
4,0.1290480603571235,0.1648556992632193,94.61182700794352,92.75275124714848,13327.042188167572
5,0.11959172494434615,0.17657080025615654,95.00158870255957,92.36920608658595,13351.18362903595
6,0.09633613327442811,0.12977666307731658,95.92303618711385,94.41478027625278,13310.193544864655
7,0.08799277812692305,0.12737474049158345,96.19064430714916,94.49249204081121,13386.282074689865
8,0.08482821161380828,0.12590237841339189,96.34315975286849,94.61281993432102,13341.687391996384
9,0.08166908903208225,0.12260907260101844,96.45472197705207,94.85598255245544,13428.615704536438
10,0.07903392930022406,0.11818994891791197,96.5585172109444,95.07658369055677,13432.436129570007
