epoch,train_loss,val_loss,train_acc,val_acc,epoch_time
1,0.1643115559597512,0.1862692100995546,93.37122683142101,92.25890551753528,20881.331606149673
2,0.12539368607844278,0.15964261022268353,94.86672550750221,93.30926775463136,20738.27014517784
3,0.11232762063086191,0.17114591819884,95.30873786407767,93.72790855080093,20732.49012041092
4,0.10578869834955246,0.13593900004730383,95.60882612533098,94.26437040936553,20742.123073101044
5,0.09801735672082452,0.12960697250099365,95.90326566637246,94.62034042766538,20737.731886148453
6,0.0763290973600569,0.10827528634852895,96.75198587819948,95.55037477125165,20734.32484483719
7,0.07059970857041238,0.10894653980757116,96.97157987643425,95.60301822466221,20720.429320812225
8,0.06744940960150794,0.10489913446624019,97.13115622241835,95.67822315810584,20764.827993392944
9,0.0652424354125587,0.1025982672991271,97.18199470432481,95.72835978040159,20719.319573879242
10,0.06376216191120465,0.10403058836143618,97.2702559576346,95.84868767391141,20760.800428390503
